сегмент,сообщество,ссылка,формат,подписчики,просмотры,er,цена,cpv
психология,Занимательная психология,https://telega.in/channels/zalipatpsychology/card?r=PVs-fJHZ,1/24,31772.0,4100.0,0.1290444416,3986.0,0.972195122
психология,🩶Женская Сила | Путь к самопознанию,https://telega.in/channels/samopoznaniisila/card,1/24,22300.0,4900.0,0.2197309417,5034.0,1.027346939
психология,Женская Сила | Путь к самопознанию,https://telega.in/channels/samopoznaniisila/card?r=PVs-fJHZ,1/24,22303.0,4800.0,0.2152176837,5034.0,1.04875
психология,Философ печатает...,https://telega.in/channels/filosofiaforyou/card,1/24,5000.0,752.0,0.1504,839.0,1.115691489
психология,Михаил Лобковский,https://telega.in/channels/Mihail_lobcovskii/card,1/24,2996.0,610.0,0.2036048064,699.0,1.145901639
психология,💖Психология Женственности👑,https://telega.in/channels/jenstvenlove/card,1/24,15000.0,4300.0,0.2866666667,5034.0,1.170697674
психология,💓Женский блог о Психологии💓,https://telega.in/channels/jenskiyblogps/card?r=PVs-fJHZ,1/24,14400.0,4000.0,0.2777777778,4755.0,1.18875
психология,сила в тебе,https://telega.in/channels/sila_v_tebie/card,1/24,1800.0,284.0,0.1577777778,349.0,1.228873239
психология,Miracle | Психология,https://telega.in/channels/society_dreamers/card,1/24,12400.0,2600.0,0.2096774194,3216.0,1.236923077
психология,Без воды | Психология/Саморазвитие,https://telega.in/channels/Bez_water_1/card?r=PVs-fJHZ,1/24,9700.0,2300.0,0.2371134021,3776.0,1.64173913
психология,Экхарт Толле,https://telega.in/channels/EkkhartTolle/card?r=PVs-fJHZ,1/24,9900.0,1700.0,0.1717171717,2937.0,1.727647059
психология,Психолог Валера,https://telega.in/channels/valera_psih/card?r=PVs-fJHZ,1/24,36956.0,5500.0,0.1488256305,10489.0,1.907090909
психология,Точно психолог | Полина Богданова,https://telega.in/channels/to4nopsy/card,1/24,5300.0,1300.0,0.2452830189,2587.0,1.99
путешествия русская культура,Неизвестная Россия,https://telega.in/channels/unowrus/card,1/24,15300.0,1800.0,0.1176470588,1538.0,0.8544444444
путешествия русская культура,ПУТЕШЕСТВИЯ В ГЛУБИНКИ РОССИИ,https://telega.in/channels/utravelinrussia/card,1/24,7200.0,966.0,0.1341666667,1118.0,1.157349896
путешествия русская культура,Загадочная Россия,https://telega.in/channels/MysRussia/card,1/24,22200.0,2400.0,0.1081081081,4895.0,2.039583333
путешествия русская культура,Матушка,https://telega.in/channels/udivitelniegorodarossiinazvaniya/card,1/24,24800.0,2300.0,0.09274193548,5454.0,2.371304348
русский язык,Граммарнаци_день_за_днём,https://telega.in/channels/grammarnazi/card,,,,,559.0,
русский язык каламбур,Игра слов,https://telega.in/channels/Kalamburing/card?r=PVs-fJHZ,1/24,67536.0,17700.0,0.2620824449,15384.0,0.8691525424
саморазвитие,"Твой мир, твои слова",https://telega.in/channels/mirwords/card,1/24,9000.0,2800.0,0.3111111111,1398.0,0.4992857143
Саморазвитие,Минимализм как стиль жизни,https://telega.in/channels/minliferu/card?r=PVs-fJHZ,1/24,8322.0,2600.0,0.3124248979,3496.0,1.344615385
саморазвитие,Источник вдохновения,https://telega.in/channels/istvdoh/card?r=PVs-fJHZ,1/24,3500.0,414.0,0.1182857143,559.0,1.350241546
саморазвитие,Будда | Осознанность,https://telega.in/channels/buddha20/card?r=PVs-fJHZ,1/24,8500.0,1300.0,0.1529411765,1846.0,1.42
саморазвитие,Иначе не скажешь | Саморазвитие,https://telega.in/channels/books_things/card,1/24,97000.0,9800.0,0.1010309278,13986.0,1.427142857
хобби и деятельность,Чай в саду☕️🍂,https://telega.in/channels/cupoftea_garden/card?r=PVs-fJHZ,1/24,11311.0,1800.0,0.1591371232,1678.0,0.9322222222
Русский язык,БундесБлог,https://telega.in/channels/bundesblog/card,1/24,6400.0,1300.0,0.203125,4195.0,3.226923077
Саморазвитие,Цитаты с перцем,https://telega.in/channels/citatispercem/card,1/24,3600.0,431.0,0.1197222222,377.0,0.8747099768
Саморазвитие,Заметки Мураками,https://telega.in/channels/murakamitg/card,1/24,9800.0,1300.0,0.1326530612,1958.0,1.506153846
Саморазвитие,Популярная Философия | Цитаты,https://telega.in/channels/popular_philosophy/card,1/24,2200.0,941.0,0.4277272727,825.0,0.8767268863
,,https://telega.in/channels/poznr/card,,,,,,
,,https://telega.in/channels/umnikdnya/card,,,,,,
,,https://telega.in/channels/kaketo_delat/card,,,,,,
,,https://telega.in/channels/IskusnyjIntellekt/card,,,,,,
,Не могу поверить!,,,,,,,
,Бизнес Секреты,https://telega.in/channels/bizness_secret/card,,,,,,
,,https://telemetr.me/@baseofbusiness#tab_all_stats,,,,,,
"вдохновляющие цитаты, стихи, мысли",Самосознание,https://telega.in/tme/um_soznanie,2300.0,2038.81,0.8864391304,не приняли в работу,,
"вдохновляющие цитаты, стихи, мысли",❤️ ТЕПЛО В ДУШЕ,,2700.0,2518.56,0.9328,Проигнорировано владельцем канала,,
"детский досуг, развитие",Детский Петербург,https://telega.in/tme/kidspeterburg,1400.0,1998.03,1.427164286,пост слишком длинный,,
"детский досуг, развитие",Детская Москва,https://telega.in/tme/kidsmsk,948.0,1439.16,1.518101266,пост слишком длинный,,
история,Председатель СНТ,https://telega.in/channels/predsedatelprav/card,9100.0,3917.0,0.4304395604,истекло время,,
история,CCCP,https://telega.in/tme/ussr1922_1991,1100.0,839.51,0.7631909091,Количество символов в креативе,,
история,Загадки истории с Лысым Камрадом,https://telega.in/tme/popscienceru,4400.0,3238.11,0.7359340909,не приняли в работу,,
история,Загадки истории с Лысым Камрадом,https://telega.in/channels/popscienceru/card,4200.0,4195.0,0.9988095238,не темат,,
история,Интересная история,https://telega.in/channels/realitistory/card,763.0,629.0,0.8243774574,нет ип,,
история,Записки о Средневековье,https://telega.in/channels/medievalnotes/card,1700.0,1118.0,0.6576470588,проигнорировал,,
история,womaninhistory,https://telega.in/channels/womaninhistory/card,1400.0,1048.0,0.7485714286,проигнорировал,,
история,Краткая история,https://telega.in/channels/short_history/card,7800.0,6293.0,0.8067948718,проигнорировал,,
история,Интересная история,https://telega.in/channels/realitistory/card,718.0,629.0,0.8760445682,проигнорировал,,
история,Фотоистория,https://telega.in/channels/foto24history/card,714.0,699.0,0.9789915966,проигнорировал,,
история,Фонарь Истории 💡,https://telega.in/channels/fonar_istorii/card,391.0,419.0,1.071611253,проигнорировал,,
история,КАДЫКЧАНСКИЙ,https://telega.in/channels/efirykadykchanskogo/card,540.0,293.0,0.5425925926,проигнорирован,,
история,История. Исторические факты.,https://telega.in/channels/historicalfacts77777/card,6700.0,5594.0,0.8349253731,проигнорирован,,
история,Коллоквиум | История,https://telega.in/channels/+q4L7NYSW2plmZmQy/card,1100.0,534.0,0.4854545455,проигнорирован,,
история,Факты на Обочине,https://telega.in/channels/elenatopsida/card,1800.0,839.0,0.4661111111,проигнорирован,,
история,История. Исторические факты.,https://telega.in/tme/historicalfacts77777,6400.0,4195.8,0.65559375,Проигнорировано владельцем канала,,
история,Negoro,https://telega.in/channels/whattackwhat/card,1300.0,1398.0,1.075384615,Проигнорировано владельцем канала,,
литература,словоткань,https://telega.in/channels/slovotkn/card,2300.0,2937.0,1.276956522,другое,,
литература,Поэзия любви,https://telega.in/channels/poetsoullove/card,649.0,839.0,1.292758089,игнор,,
литература,Норка Эрудита,https://telega.in/channels/+bvSLnBtcAVFiZGUy/card,819.0,1048.0,1.27960928,нет мест,,
литература - цитаты,Голос Раневской | Литература,https://telega.in/tme/golosranevskoy,349.0,1048.95,3.005587393,Проигнорировано владельцем канала,,
литература блог,Vodka.Kniga.Balalaika,https://telega.in/channels/alibiderchii/card,2400.0,2797.0,1.165416667,другое,,
литература блог,Vikibook❤📚,https://telega.in/channels/bookslover2024/card,617.0,839.0,1.359805511,не целевое размещение,,
"новости, политика, экономика",СОЛОВЬЕВ LIVE ЛАЙФ,https://telega.in/tme/slovievlive,3500.0,959.44,0.2741257143,Проигнорировано владельцем канала,,
"новости, политика, экономика",СОЛОВЬЕВ LIVE ЛАЙФ,https://telega.in/tme/slovievlive,3500.0,959.44,0.2741257143,слишком длинный текст поста,,
православие,Христиане,https://telega.in/tme/hristiano,1000.0,1199.3,1.1993,Проигнорировано владельцем канала,,
православие,Духовный мир,https://t.me/+POfQijiFMWhmZjMy,3000.0,4797.2,1.599066667,Проигнорировано владельцем канала,,
православие,Православные молитвы,https://telega.in/channels/pravoslavnye_molitvy/card,757.0,559.0,0.7384412153,Проигнорировано владельцем канала,,
русский язык,Умный Брокколь | Грамотность,https://telega.in/channels/brokoledu/card?r=PVs-fJHZ,3400.0,6853.0,2.015588235,игнор,,
русский язык,Записки редакторки,https://telega.in/channels/zapiski_redaktorki/card?r=PVs-fJHZ,9200.0,14685.0,1.596195652,места только с 8,,
русский язык,Русский для мозга,https://telega.in/channels/russian_for_brain/card,408.0,1818.0,4.455882353,невозможно разместиться,,
русский язык повтор,Я люблю русский язык!,https://telega.in/channels/rus_yaz_tg/card,3400.0,4153.0,1.221470588,не размещено,,
